Tanggal Order;Channel;Kategori Channel;Cust;Daerah;Provinsi;Pesanan;Kategori;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total
Thursday, 02 February 2023;Shopee;End User;sitydeja;BEKASI;JAWA BARAT;Dks Gaharu;Dupa Stik;1;10000;10000;0;10000;10000
Thursday, 02 February 2023;Shopee;End User;sitydeja;BEKASI;JAWA BARAT;Dks Cendana;Dupa Stik;4;18200;18200;0;72800;72800
Tuesday, 07 February 2023;Shopee;End User;niichanxx;MALANG;JAWA TIMUR;Dks Cendana;Dupa Stik;1;10000;10000;0;10000;10000
Tuesday, 07 February 2023;Shopee;End User;niichanxx;MALANG;JAWA TIMUR;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000
Thursday, 09 February 2023;Shopee;End User;vavaananta;YOGYAKARTA;D.I YOGYAKARTA;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400
Thursday, 09 February 2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750
Thursday, 09 February 2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;Dks Abdi Dalem;Dupa Stik;1;22750;22750;0;22750;22750
Thursday, 09 February 2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200
Sunday, 12 February 2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;Dks Cendana;Dupa Stik;1;18200;18200;0;18200;18200
Sunday, 12 February 2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200
Sunday, 12 February 2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000
Sunday, 12 February 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dks Cendana;Dupa Stik;1;18200;18200;0;18200;18200
Sunday, 12 February 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200
Tuesday, 14 February 2023;Shopee;End User;budiartialdi;KEDIRI;JAWA TIMUR;Dks Sakura;Dupa Stik;1;20000;20000;0;20000;20000
Tuesday, 14 February 2023;Shopee;End User;dhaniehafidz;BANDUNG;JAWA BARAT;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000
Wednesday, 15 February 2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;Dks Sakura;Dupa Stik;1;20000;20000;0;20000;20000
Wednesday, 15 February 2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000
Wednesday, 15 February 2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000
Thursday, 16 February 2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;Dkk Melati;Dupa Kerucut;1;30000;30000;0;30000;30000
Thursday, 16 February 2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400
Sunday, 19 February 2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;Dkk Gaharu;Dupa Kerucut;2;25500;25500;0;51000;51000
Sunday, 19 February 2023;Shopee;End User;cinantyactriza;GROBOGAN;JAWA TENGAH;Dks Baccarat;Dupa Stik;1;9900;9900;0;9900;9900
Tuesday, 21 February 2023;Shopee;End User;putriservia;KOTA BALIKPAPAN;KALIMANTAN TIMUR;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000
Tuesday, 21 February 2023;Shopee;End User;putriservia;KOTA BALIKPAPAN;KALIMANTAN TIMUR;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000
Saturday, 25 February 2023;Shopee;End User;anggietwaps;TANGERANG;BANTEN;Dkk Vanilla;Dupa Kerucut;1;25500;25500;0;25500;25500
Sunday, 26 February 2023;Shopee;End User;antikhawulan01;JAKARTA BARAT;DKI JAKARTA;Dks Gaharu;Dupa Stik;1;19250;19250;0;19250;19250
Sunday, 26 February 2023;Shopee;End User;antikhawulan01;JAKARTA BARAT;DKI JAKARTA;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 27 February 2023;Shopee;End User;yuliriyani10;TANGERANG SELATAN;BANTEN;Dks Gaharu;Dupa Stik;1;19250;19250;0;19250;19250
Monday, 27 February 2023;Shopee;End User;id7857_27976;JAKARTA BARAT;DKI JAKARTA;Dks Vanilla;Dupa Stik;1;19250;19250;0;19250;19250
Tuesday, 28 February 2023;Shopee;End User;romlahnyong;SITUBONDO;JAWA TIMUR;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000
Tuesday, 28 February 2023;Shopee;End User;romlahnyong;SITUBONDO;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000
Tuesday, 28 February 2023;Shopee;End User;whoomskyb00msky;JEMBER;JAWA TIMUR;Dks Blue Flower;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 02 March 2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000
Thursday, 02 March 2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 02 March 2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 02 March 2023;Shopee;End User;qnun.t;JAKARTA SELATAN;DKI JAKARTA;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000
Friday, 03 March 2023;Shopee;End User;adiftaakbar;KEDIRI;JAWA TIMUR;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000
Sunday, 05 March 2023;Shopee;End User;adambagaskara;JAKARTA TIMUR;DKI JAKARTA;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000
Sunday, 05 March 2023;Shopee;End User;adambagaskara;JAKARTA TIMUR;DKI JAKARTA;Dkk Gaharu;Dupa Kerucut;1;25500;25500;0;25500;25500
Monday, 06 March 2023;Shopee;End User;ngunduhgondo;KOTA YOGYAKARTA;D.I YOGYAKARTA;Dkk Gaharu;Dupa Kerucut;2;25500;25500;0;51000;51000
Monday, 06 March 2023;Shopee;End User;sumberbumi01;SUKABUMI;JAWA BARAT;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000
Monday, 06 March 2023;Shopee;End User;sumberbumi01;SUKABUMI;JAWA BARAT;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000
Tuesday, 07 March 2023;Shopee;End User;h8jvwebko1;SIDOARJO;JAWA TIMUR;Dks Melati;Dupa Stik;3;20000;20000;0;60000;60000
Wednesday, 08 March 2023;Shopee;End User;sekar667;JAKARTA SELATAN;DKI JAKARTA;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000
Wednesday, 08 March 2023;Shopee;End User;sekar667;JAKARTA SELATAN;DKI JAKARTA;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 09 March 2023;Shopee;End User;dhaniehafidz;JAKARTA BARAT;DKI JAKARTA;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 09 March 2023;Shopee;End User;dhaniehafidz;JAKARTA BARAT;DKI JAKARTA;Dks Lemontea;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 09 March 2023;Shopee;End User;dhaniehafidz;JAKARTA BARAT;DKI JAKARTA;Dkk Gaharu;Dupa Kerucut;1;25500;25500;0;25500;25500
Thursday, 09 March 2023;Shopee;End User;dhaniehafidz;JAKARTA BARAT;DKI JAKARTA;Dkk Vanilla;Dupa Kerucut;1;25500;25500;0;25500;25500
Thursday, 09 March 2023;Shopee;End User;dafajibril12;MALANG;JAWA TIMUR;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000
Thursday, 09 March 2023;Shopee;End User;dafajibril12;MALANG;JAWA TIMUR;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000
Friday, 10 March 2023;Offline;End User;Tante Ainat;TULUNGAGUNG;JAWA TIMUR;Dkk Gaharu;Dupa Kerucut;9;14000;14000;0;126000;126000
Friday, 10 March 2023;Offline;End User;Tante Ainat;TULUNGAGUNG;JAWA TIMUR;Dks Gaharu;Dupa Stik;11;10000;10000;0;110000;110000
Friday, 10 March 2023;Shopee;End User;sitydeja;BEKASI;JAWA BARAT;Dks Gaharu;Dupa Stik;2;25000;25000;0;50000;50000
Saturday, 11 March 2023;Shopee;End User;firmanseptianto;TANGERANG;BANTEN;Dks Cendana;Dupa Stik;2;25000;25000;0;50000;50000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Gaharu;Dupa Stik;18;9000;9000;0;162000;162000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Melati;Dupa Stik;19;9000;9000;0;171000;171000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Blue Flower;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Cendana;Dupa Stik;17;9000;9000;0;153000;153000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Abdi Dalem;Dupa Stik;19;9000;9000;0;171000;171000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Baccarat;Dupa Stik;22;9000;9000;0;198000;198000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Sakura;Dupa Stik;19;9000;9000;0;171000;171000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Lemontea;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Vanilla;Dupa Stik;15;9000;9000;0;135000;135000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dks Fruity;Dupa Stik;6;9000;9000;0;54000;54000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Melati;Dupa Kerucut;1;14000;14000;0;14000;14000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Cendana;Dupa Kerucut;4;14000;14000;0;56000;56000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Abdi Dalem;Dupa Kerucut;5;14000;14000;0;70000;70000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Baccarat;Dupa Kerucut;4;14000;14000;0;56000;56000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Sakura;Dupa Kerucut;2;14000;14000;0;28000;28000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Lemontea;Dupa Kerucut;3;14000;14000;0;42000;42000
Monday, 13 March 2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;Dkk Vanilla;Dupa Kerucut;4;14000;14000;0;56000;56000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Abdi Dalem;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Sakura;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Blue Flower;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000
Monday, 13 March 2023;Shopee;End User;11rifqa;KOTA MAKASSAR;SULAWESI SELATAN;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000
