Tanggal Order;Channel;Kategori Channel;Cust;Kab/Kota;Provinsi;Pesanan;Kategori;Produk;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total;Anomaly_Flags;Is_Anomaly;Expected_Total_Penjualan;Expected_Total_Diskon;Duplicate_Group_Size;Sheet
22/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKK Gaharu;Dkk Gaharu;Dupa Kerucut;1;14000;14000;0;14000;14000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Blue Flower;Dks Blue Flower;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;15;9000;9000;0;135000;135000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;9;9000;9000;0;81000;81000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Sakura;Dks Sakura;Dupa Stik;7;9000;9000;0;63000;63000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Lemontea;Dks Lemontea;Dupa Stik;11;9000;9000;0;99000;99000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
23/01/2023;Tiktok;Reseller;Zaky;SURABAYA;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;8;9000;9000;0;72000;72000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
